dates,dec.yr,Qsal,gam.s1,gam.s1.fn,gam.s2,gam.s2.fn,gam.s3,gam.s3.fn
6/3/2012,2012.421918,2.931001962,2.060965212,2.15283362,2.274099106,2.286676753,2.116741748,2.187743101
7/6/2012,2012.512329,2.482189507,1.60932929,2.148630678,2.271277086,2.361276784,1.777061311,2.202426178
8/26/2012,2012.652055,2.788011001,1.814722547,2.112515164,2.170845909,2.211652052,1.900095814,2.13642945
9/4/2012,2012.676712,3.274214383,2.308079854,1.870682826,2.177998098,2.124550071,2.277535916,1.931021676
10/1/2012,2012.750685,2.397565643,1.106955847,1.258335535,1.853522712,1.862186542,1.278705522,1.397312262
11/3/2012,2012.841096,3.497580888,1.842480756,1.768995045,1.489028672,1.493813153,1.764449493,1.70830087
12/4/2012,2012.926027,3.779385484,1.727503353,1.176923179,1.092246072,1.202385377,1.591682413,1.182506002
1/7/2013,2013.016438,3.726825405,1.521545416,1.203969799,0.938848682,1.031058318,1.401607065,1.168354689
2/17/2013,2013.128767,2.933267091,1.139084492,1.497970068,1.349946562,1.272365472,1.179927053,1.453840357
3/1/2013,2013.161644,3.684227421,1.898322397,1.856818279,1.358224765,1.365286601,1.794759074,1.762545502
4/18/2013,2013.293151,3.260512561,2.094323896,1.974171639,1.977943402,1.975097987,2.073399172,1.97405707
5/20/2013,2013.380822,2.820453169,1.868569948,2.149868287,2.192251528,2.22647594,1.922745287,2.162535934
6/29/2013,2013.490411,1.581817872,0.458025577,2.224170005,2.020345592,2.358013994,0.702063712,2.245025403
7/24/2013,2013.558904,3.106366009,2.331720945,2.112657176,2.369490967,2.325302853,2.337369277,2.144354286
8/6/2013,2013.594521,3.514314676,2.80296999,2.218080686,2.432789971,2.317219128,2.749260607,2.232528784
9/11/2013,2013.693151,3.472612182,2.511557359,1.826016843,2.183076876,2.079883589,2.46719377,1.86042743
10/4/2013,2013.756164,1.087351148,-0.354124319,1.236847097,1.702659809,1.840698072,-0.088103731,1.314973185
11/6/2013,2013.846575,3.379453383,1.728387766,1.766044973,1.493063853,1.490863561,1.69978613,1.732608643
12/27/2013,2013.986301,3.283717232,1.199006953,1.074231495,1.059419256,1.099694602,1.183574605,1.0767962
1/16/2014,2014.041096,3.335491653,1.253451845,1.239858405,1.06208971,1.066947848,1.233309059,1.221633384
2/16/2014,2014.126027,3.329630967,1.488998556,1.520295143,1.30349697,1.294690597,1.471002332,1.498468108
3/25/2014,2014.227397,4.003247301,2.55084284,2.216755044,1.691724441,1.725223017,2.477622533,2.174763759
4/27/2014,2014.317808,2.93201724,1.88319549,2.105777826,2.095310781,2.106704305,1.89903229,2.105719382
5/18/2014,2014.375342,2.90369501,1.976205168,2.163636591,2.216644529,2.24024379,1.992760192,2.168880205
6/1/2014,2014.413699,2.996115033,2.14021188,2.15719368,2.288232257,2.291036393,2.149821422,2.165883317
7/20/2014,2014.547945,2.930319716,2.09920197,2.100728364,2.31301871,2.313374261,2.110036389,2.111503791
8/23/2014,2014.641096,3.816985437,3.126937482,2.139232845,2.454084844,2.238370025,3.09955351,2.143219303
9/2/2014,2014.668493,3.117206508,2.172191213,1.886997166,2.199117892,2.140864553,2.173124275,1.89652537
10/7/2014,2014.764384,2.978727331,1.70037088,1.208680343,1.865774796,1.812531274,1.704876414,1.225798178
11/21/2014,2014.887671,2.102321564,0.442872118,1.596676044,1.484681607,1.32149542,0.461294022,1.591294843
12/26/2014,2014.983562,3.251680476,1.188343621,1.091352568,1.080793676,1.116816673,1.186846641,1.091152695
