EVENT_ID,SOURCE,PROJECT,STATION,SAMPLE_DATE,SAMPLE_TIME,DEPTH,LAYER,SAMPLE_TYPE,SAMPLE_ID,PARAMETER,QUALIFIER,VALUE,UNIT,METHOD,LAB,PROBLEM,DETAILS,TOTAL_DEPTH,UPPER_PYCNOCLINE,LOWER_PYCNOCLINE,LAT,LONG
67522,MDDNR,TRIB,CB5.1W,6/1/2000,8:10,8,B,ISM,M1,SALINITY,,10.37,PPT,F02,,,,9,,,38.32522,-76.37574
67523,MDDNR,TRIB,CB5.1W,6/19/2000,10:06,0.5,S,ISM,M1,SALINITY,,11.54,PPT,F02,,,,9,,,38.32522,-76.37574
67523,MDDNR,TRIB,CB5.1W,6/19/2000,10:06,3,AP,ISM,M1,SALINITY,,11.74,PPT,F02,,,,9,,,38.32522,-76.37574
67523,MDDNR,TRIB,CB5.1W,6/19/2000,10:06,6,BP,ISM,M1,SALINITY,,12,PPT,F02,,,,9,,,38.32522,-76.37574
67523,MDDNR,TRIB,CB5.1W,6/19/2000,10:06,8,B,ISM,M1,SALINITY,,12.93,PPT,F02,,,,9,,,38.32522,-76.37574
63082,MDDNR,TRIB,CB5.1W,7/3/2000,10:25,0.5,S,ISM,M1,SALINITY,,11.41,PPT,F02,,,,9,,,38.32522,-76.37574
63082,MDDNR,TRIB,CB5.1W,7/3/2000,10:25,3,AP,ISM,M1,SALINITY,,11.47,PPT,F02,,,,9,,,38.32522,-76.37574
63082,MDDNR,TRIB,CB5.1W,7/3/2000,10:25,6,BP,ISM,M1,SALINITY,,11.87,PPT,F02,,,,9,,,38.32522,-76.37574
63082,MDDNR,TRIB,CB5.1W,7/3/2000,10:25,8,B,ISM,M1,SALINITY,,12.59,PPT,F02,,,,9,,,38.32522,-76.37574
63083,MDDNR,TRIB,CB5.1W,7/17/2000,9:50,0.5,S,ISM,M1,SALINITY,,11.87,PPT,F02,,,,9,,,38.32522,-76.37574
63083,MDDNR,TRIB,CB5.1W,7/17/2000,9:50,1,M,ISM,M1,SALINITY,,11.87,PPT,F02,,,,9,,,38.32522,-76.37574
63083,MDDNR,TRIB,CB5.1W,7/17/2000,9:50,2,M,ISM,M1,SALINITY,,11.93,PPT,F02,,,,9,,,38.32522,-76.37574
63083,MDDNR,TRIB,CB5.1W,7/17/2000,9:50,3,AP,ISM,M1,SALINITY,,11.87,PPT,F02,,,,9,,,38.32522,-76.37574
63083,MDDNR,TRIB,CB5.1W,7/17/2000,9:50,6,BP,ISM,M1,SALINITY,,11.93,PPT,F02,,,,9,,,38.32522,-76.37574
63083,MDDNR,TRIB,CB5.1W,7/17/2000,9:50,8,B,ISM,M1,SALINITY,,12.99,PPT,F02,,,,9,,,38.32522,-76.37574
63214,MDDNR,TRIB,CB5.1W,8/1/2000,9:25,0.5,S,ISM,M1,SALINITY,,12.59,PPT,F02,,,,9,,,38.32522,-76.37574
63214,MDDNR,TRIB,CB5.1W,8/1/2000,9:25,3,AP,ISM,M1,SALINITY,,12.66,PPT,F02,,,,9,,,38.32522,-76.37574
63214,MDDNR,TRIB,CB5.1W,8/1/2000,9:25,6,BP,ISM,M1,SALINITY,,12.79,PPT,F02,,,,9,,,38.32522,-76.37574
